name,group,Happy,Health,Family,Friends,Leasure Time,Politics,Religion,Work
Australia,Oceania,3.256,3.051,3.897,3.423,3.235,2.307,2.006,2.981
Belarus,Europe,2.598,2.217,3.852,3.236,3.052,2.158,2.441,3.119
Taiwan,Asia,3.126,3.106,3.886,3.315,3.150,2.131,2.588,3.454
Colombia,South America,3.473,3.002,3.844,2.986,3.329,1.965,3.408,3.740
Georgia,Europe,2.860,2.362,3.983,3.709,2.981,2.264,3.809,3.567
Germany,Europe,2.860,2.865,3.719,3.439,3.176,2.411,2.249,3.059
Iraq,Asia,2.719,2.738,3.920,3.328,2.654,2.245,3.820,3.543
Jordan,Asia,3.023,3.144,3.956,3.394,3.043,2.191,3.923,3.454
Morocco,Africa,2.931,3.037,3.892,3.088,2.316,1.502,3.868,3.748
New Zealand,Oceania,3.202,3.097,3.877,3.435,3.292,2.338,2.135,2.995
Pakistan,Asia,3.257,3.100,3.934,3.228,2.582,2.138,3.850,3.561
Philippines,Asia,3.381,2.689,3.987,3.187,2.542,2.715,3.837,3.877
Romania,Europe,2.774,2.714,3.913,2.935,3.219,1.879,3.305,3.421
Slovenia,Europe,2.996,2.754,3.865,3.359,3.260,1.725,2.168,3.253
Ukraine,Europe,2.698,2.252,3.905,3.274,3.132,2.064,2.745,3.222
Egypt,Africa,1.875,2.579,3.972,3.409,2.737,2.950,3.936,3.353
Uruguay,South America,3.171,3.029,3.864,3.295,3.314,2.018,2.269,3.469
South Korea,Asia,3.043,2.913,3.893,3.430,3.134,2.560,2.590,3.456
Brazil,South America,3.264,2.919,3.857,3.139,3.176,2.240,3.375,3.602
Nigeria,Africa,3.366,3.438,3.979,3.563,3.351,2.525,3.866,3.668
Peru,South America,3.088,2.633,3.849,2.746,3.047,2.199,3.247,3.602
Poland,Europe,3.111,2.721,3.885,3.300,3.159,2.153,3.195,3.436
Russia,Europe,2.779,2.370,3.812,3.097,2.953,1.987,2.231,2.964
South Africa,Africa,3.095,3.213,3.904,3.213,2.981,2.397,3.319,3.227
United States,North America,3.237,3.030,3.877,3.444,3.273,2.510,2.947,3.077
Argentina,South America,3.167,2.978,3.873,3.391,3.051,2.031,2.599,3.374
Chile,South America,3.075,2.881,3.903,3.094,3.433,1.912,2.681,3.372
China,Asia,2.969,2.852,3.823,3.334,2.811,2.267,1.434,3.062
India,Asia,3.226,2.904,3.931,3.233,2.924,2.261,3.538,3.663
Japan,Asia,3.116,2.515,3.850,3.322,3.246,2.723,1.631,3.234
Mexico,North America,3.614,2.966,3.971,3.120,3.425,2.389,3.376,3.808
Spain,Europe,3.002,2.891,3.902,3.451,3.336,1.895,2.050,3.384
Sweden,Europe,3.345,3.029,3.866,3.644,3.458,2.696,1.978,3.225
Turkey,Asia,3.165,2.746,3.948,3.537,3.230,2.421,3.572,3.230
